date,region,category,revenue,orders,profit
2024-01-01,North,Software,14200,96,5112
2024-01-01,South,Hardware,9800,61,2352
2024-01-01,East,Services,12100,72,3993
2024-01-01,West,Software,10800,67,3780
2024-02-01,North,Hardware,10600,63,2544
2024-02-01,South,Services,12800,76,4224
2024-02-01,East,Software,15100,101,5436
2024-02-01,West,Hardware,9300,58,2232
2024-03-01,North,Services,13900,79,4587
2024-03-01,South,Software,16200,104,5832
2024-03-01,East,Hardware,11200,69,2688
2024-03-01,West,Services,11700,71,3861
2024-04-01,North,Software,17100,110,6156
2024-04-01,South,Hardware,11900,70,2856
2024-04-01,East,Services,13600,80,4488
2024-04-01,West,Software,12600,77,4410
2024-05-01,North,Hardware,12400,73,2976
2024-05-01,South,Services,14500,85,4785
2024-05-01,East,Software,17800,115,6408
2024-05-01,West,Hardware,10100,64,2424
2024-06-01,North,Services,15100,88,4983
2024-06-01,South,Software,18400,121,6624
2024-06-01,East,Hardware,12900,76,3096
2024-06-01,West,Services,13200,82,4356
2024-07-01,North,Software,19100,126,6876
2024-07-01,South,Hardware,13500,79,3240
2024-07-01,East,Services,15800,92,5214
2024-07-01,West,Software,14400,87,5040
2024-08-01,North,Hardware,13900,83,3336
2024-08-01,South,Services,16300,96,5379
2024-08-01,East,Software,20300,132,7308
2024-08-01,West,Hardware,11400,70,2736
2024-09-01,North,Services,17200,100,5676
2024-09-01,South,Software,21200,136,7632
2024-09-01,East,Hardware,14700,87,3528
2024-09-01,West,Services,14900,91,4917
2024-10-01,North,Software,22500,146,8100
2024-10-01,South,Hardware,15400,91,3696
2024-10-01,East,Services,18100,105,5973
2024-10-01,West,Software,16400,99,5740
2024-11-01,North,Hardware,15900,94,3816
2024-11-01,South,Services,19000,110,6270
2024-11-01,East,Software,23800,154,8568
2024-11-01,West,Hardware,12800,78,3072
2024-12-01,North,Services,20700,121,6831
2024-12-01,South,Software,25600,165,9216
2024-12-01,East,Hardware,17200,102,4128
2024-12-01,West,Services,18100,108,5973
2025-01-01,North,Software,19200,125,6912
2025-01-01,South,Hardware,13700,82,3288
2025-01-01,East,Services,16500,98,5445
2025-01-01,West,Software,14900,91,5215
2025-02-01,North,Hardware,14300,86,3432
2025-02-01,South,Services,17200,101,5676
2025-02-01,East,Software,21400,139,7704
2025-02-01,West,Hardware,12100,74,2904
2025-03-01,North,Services,18500,108,6105
2025-03-01,South,Software,23100,148,8316
2025-03-01,East,Hardware,15800,94,3792
2025-03-01,West,Services,16200,97,5346
2025-04-01,North,Software,24400,158,8784
2025-04-01,South,Hardware,16400,98,3936
2025-04-01,East,Services,19600,115,6468
2025-04-01,West,Software,17700,107,6195
2025-05-01,North,Hardware,17100,102,4104
2025-05-01,South,Services,20600,121,6798
2025-05-01,East,Software,25900,167,9324
2025-05-01,West,Hardware,13700,83,3288
2025-06-01,North,Services,21600,127,7128
2025-06-01,South,Software,27600,178,9936
2025-06-01,East,Hardware,18400,110,4416
2025-06-01,West,Services,18900,113,6237
2025-07-01,North,Software,28900,187,10404
2025-07-01,South,Hardware,19200,114,4608
2025-07-01,East,Services,22800,134,7524
2025-07-01,West,Software,20600,124,7210
2025-08-01,North,Hardware,19800,118,4752
2025-08-01,South,Services,23900,140,7887
2025-08-01,East,Software,30400,196,10944
2025-08-01,West,Hardware,15600,94,3744
2025-09-01,North,Services,25100,147,8283
2025-09-01,South,Software,32200,207,11592
2025-09-01,East,Hardware,21100,126,5064
2025-09-01,West,Services,21700,130,7161
2025-10-01,North,Software,33900,218,12204
2025-10-01,South,Hardware,22200,132,5328
2025-10-01,East,Services,26700,156,8811
2025-10-01,West,Software,24100,145,8435
2025-11-01,North,Hardware,22900,136,5496
2025-11-01,South,Services,28100,164,9273
2025-11-01,East,Software,35900,231,12924
2025-11-01,West,Hardware,17900,108,4296
2025-12-01,North,Services,30600,178,10098
2025-12-01,South,Software,38900,249,14004
2025-12-01,East,Hardware,25600,152,6144
2025-12-01,West,Services,26900,158,8877
